Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
Bavarian Hound (Bayerischer Gebirgsschweisshund)	BG064	Bavarian Hound (Bayerischer Gebirgsschweisshund)	PRJEB16012	SAMEA104091562	M	36.6783	20.5181	1.7876070396381731	Bavarian Hound	with Alpine Dachsbracke outside Dachshund clade	64	Breed not available for comparison			
Beagle 1	CFA.117995	Beagle	PRJNA263947	SAMN06159681	M	38.453400000000002	21.248799999999999	1.8096739580588082	Beagle 1	Beagle	100				
Beagle 2	Beagle01	Beagle	PRJNA288568	SAMN03801644	M	51.851799999999997	29.212	1.7750171162535944	Beagle 2	Beagle	100		yes	yes	
Beagle 3	Beagle02	Beagle	PRJNA176193	SAMN01737209	F	49.357500000000002	49.061300000000003	1.0060373451172309	Beagle 3	Beagle	100				
Beagle 4	Beagle03	Beagle	PRJEB5500	SAMEA2376414	F	15.342499999999999	15.365500000000001	0.99850314015163832	Beagle 4	Beagle	100			
Beagle 5	Beagle04	Beagle	PRJNA288568	SAMN03801645	F	19.935199999999998	20.4101	0.97673210812293909	Beagle 5	Beagle	100				
Bearded Collie 1	BeardedCollie01	Bearded Collie	PRJEB13468	SAMEA3928140	F	19.352599999999999	19.438300000000002	0.99559117824089538	Bearded Collie 1	Bearded Collie	100			
Bearded Collie 2	BeardedCollie02	Bearded Collie	PRJEB16012	SAMEA4505492	M	21.424900000000001	12.0138	1.7833574722402572	Bearded Collie 2	Bearded Collie	100			
Bearded Collie 3	BeardedCollie03	Bearded Collie	PRJEB16012	SAMEA4504824	M	17.593699999999998	9.8060100000000006	1.7941752047978736	Bearded Collie 3	Bearded Collie	100			
Bearded Collie 4	BeardedCollie04	Bearded Collie	PRJEB16012	SAMEA4505493	F	18.050999999999998	18.159700000000001	0.99401421829655767	Bearded Collie 4	Bearded Collie	100			
Bearded Collie 5	BeardedCollie05	Bearded Collie	PRJEB16012	SAMEA4504827	M	16.517700000000001	9.1703799999999998	1.801201258835512	Bearded Collie 5	Bearded Collie	100			
Bearded Collie 6	BeardedCollie06	Bearded Collie	PRJEB16012	SAMEA4505496	M	11.4566	6.3598600000000003	1.8013918545376784	Bearded Collie 6	Bearded Collie	100			
Bearded Collie 7	BeardedCollie07	Bearded Collie	PRJEB16012	SAMEA4504832	M	12.3652	6.81928	1.813270609213876	Bearded Collie 7	Bearded Collie	100			
Belgian Malinois 1	BelgianMalinois01	Belgian Malinois	PRJNA192935	SAMN01974495	F	10.6915	10.048299999999999	1.0640108277021985	Belgian Malinois 1	Belgian Malinois	88				
Belgian Malinois 2	BelgianMalinois02	Belgian Malinois	PRJEB16012	SAMEA4504823	F	17.023399999999999	17.078600000000002	0.99676788495544111	Belgian Malinois 2	Belgian Malinois	88			
Belgian Malinois 3	BelgianMalinois03	Belgian Malinois	PRJEB16012	SAMEA4504826	F	16.650300000000001	16.7578	0.99358507680005737	Belgian Malinois 3	Belgian Malinois	88			
Belgian Malinois 4	MA0163	Belgian Malinois	PRJEB16012	SAMEA104032048	F	30.833500000000001	31.245899999999999	0.98680146835264793	Belgian Malinois 4	Belgian Malinois	88				
Belgian Malinois 5	MA142	Belgian Malinois	PRJEB16012	SAMEA104125121	M	33.512300000000003	19.129899999999999	1.7518282897453727	Belgian Malinois 5	Belgian Malinois	88				
Belgian Sheepdog 1	BelgianSheepdog01	Belgian Sheepdog	PRJNA288568	SAMN03801646	F	45.505600000000001	45.964599999999997	0.99001405429395672	Belgian Sheepdog 1	Belgian Sheepdog/Tervuren	100		yes	yes
Belgian Sheepdog 2	BelgianSheepdog02	Belgian Sheepdog	PRJNA448733	SAMN08872843	M	15.321099999999999	8.6722599999999996	1.7666790432943662	Belgian Sheepdog 2	Belgian Sheepdog/Tervuren	100		yes		
