Name	Breed	BioProject	BioSample	Category
Village Dog - China 1	Village Dog - China	PRJNA232497	SAMN02485581	village
Village Dog - China 2	Village Dog - China	PRJNA192935	SAMN01974490	village
Village Dog - China 3	Village Dog - China	PRJNA192935	SAMN01974491	village
Village Dog - China 4	Village Dog - China	PRJNA192935	SAMN01974492	village
Village Dog - China 5	Village Dog - China	PRJNA232497	SAMN02485568	village
Village Dog - China 6	Village Dog - China	PRJNA232497	SAMN02485569	village
Village Dog - China 7	Village Dog - China	PRJNA232497	SAMN02485570	village
Village Dog - China 8	Village Dog - China	PRJNA232497	SAMN02485571	village
Village Dog - China 9	Village Dog - China	PRJNA232497	SAMN02485576	village
Village Dog - China 10	Village Dog - China	PRJNA233638	SAMN02585181	village
Village Dog - China 11	Village Dog - China	PRJNA233638	SAMN02585182	village
Village Dog - China 12	Village Dog - China	PRJNA233638	SAMN02585183	village
Village Dog - China 13	Village Dog - China	PRJNA233638	SAMN02585184	village
Village Dog - China 14	Village Dog - China	PRJNA233638	SAMN02585185	village
Village Dog - China 15	Village Dog - China	PRJNA233638	SAMN02585186	village
Village Dog - China 16	Village Dog - China	PRJNA233638	SAMN02585187	village
Village Dog - China 17	Village Dog - China	PRJNA233638	SAMN02585188	village
Village Dog - China 18	Village Dog - China	PRJNA233638	SAMN02585189	village
Village Dog - China 19	Village Dog - China	PRJNA233638	SAMN02585190	village
Village Dog - China 20	Village Dog - China	PRJNA233638	SAMN02585171	village
Village Dog - China 21	Village Dog - China	PRJNA233638	SAMN02585172	village
Village Dog - China 22	Village Dog - China	PRJNA233638	SAMN02585173	village
Village Dog - China 23	Village Dog - China	PRJNA233638	SAMN02585174	village
Village Dog - China 24	Village Dog - China	PRJNA233638	SAMN02585175	village
Village Dog - China 25	Village Dog - China	PRJNA233638	SAMN02585176	village
Village Dog - China 26	Village Dog - China	PRJNA233638	SAMN02585177	village
Village Dog - China 27	Village Dog - China	PRJNA233638	SAMN02585178	village
Village Dog - China 28	Village Dog - China	PRJNA233638	SAMN02585179	village
Village Dog - China 29	Village Dog - China	PRJNA233638	SAMN02585180	village
Village Dog - China 30	Village Dog - China	PRJNA233638	SAMN02585161	village
Village Dog - China 31	Village Dog - China	PRJNA233638	SAMN02585162	village
Village Dog - China 32	Village Dog - China	PRJNA233638	SAMN02585163	village
